4.80e+02,0.00e+00,1.02e+01,1.02e+01,2.03e+01,1.30e+01,1.80e+01
9.60e+02,0.00e+00,7.59e+00,1.02e+01,2.03e+01,1.30e+01,1.30e+01
1.44e+03,0.00e+00,1.46e+01,1.02e+01,4.10e+01,1.30e+01,1.10e+01
1.92e+03,0.00e+00,1.83e+01,1.02e+01,3.82e+01,1.40e+01,1.20e+01
2.40e+03,0.00e+00,9.44e+00,1.02e+01,3.82e+01,1.30e+01,1.10e+01
2.88e+03,0.00e+00,1.68e+01,1.02e+01,3.82e+01,1.40e+01,1.20e+01
3.36e+03,0.00e+00,1.39e+01,1.02e+01,3.82e+01,1.40e+01,1.30e+01
3.84e+03,1.86e+00,2.42e+01,1.02e+01,5.72e+01,1.40e+01,1.30e+01
4.32e+03,4.75e+00,3.26e+01,1.02e+01,7.40e+01,1.40e+01,1.40e+01
4.80e+03,5.65e+00,2.38e+01,2.38e+01,5.57e+01,1.40e+01,1.50e+01
5.28e+03,8.21e+00,3.13e+01,3.13e+01,6.26e+01,1.40e+01,1.40e+01
5.76e+03,6.74e+00,2.33e+01,3.13e+01,6.26e+01,1.40e+01,1.40e+01
6.24e+03,1.07e+01,3.52e+01,3.52e+01,7.91e+01,1.40e+01,1.40e+01
6.72e+03,6.94e+00,3.34e+01,3.52e+01,7.91e+01,1.40e+01,1.40e+01
7.20e+03,1.02e+01,1.98e+01,3.52e+01,7.91e+01,1.40e+01,1.40e+01
7.68e+03,8.65e+00,1.95e+01,3.52e+01,7.91e+01,1.40e+01,1.40e+01
8.16e+03,0.00e+00,1.78e+01,3.52e+01,7.91e+01,1.40e+01,1.30e+01
8.64e+03,8.17e+00,2.17e+01,3.52e+01,7.91e+01,1.40e+01,1.40e+01
9.12e+03,2.68e+00,2.90e+01,3.52e+01,7.91e+01,1.40e+01,1.40e+01
9.60e+03,7.24e+00,3.03e+01,3.52e+01,7.91e+01,1.40e+01,1.30e+01
1.01e+04,4.33e+00,3.20e+01,3.52e+01,7.91e+01,1.40e+01,1.30e+01
